Name	Sub System	ADC No	Data ID	Packet Type	Packet Subtype	Decode Type	Decode ID1	Decode ID2	Decode ID3	Decode ID4	Raw Format	Eng Format	Eng Eq Type	Eng K1	Eng K2	Sci Units	Sci Format	Sci Eq Type	Sci From Eng	Sci K1	Sci K2	Sci K3	Sci K4	Sci K5	Sci K6	Sci K7	Sci K8	Mux Ch	Limit Type 1	Yellow Limit 1	Red Limit 1	Limit Type 2	Yellow Limit 2	Red Limit 2
CTL_-5VREF_VMON	SEB	0	30	22	0	224	29	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.3f	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
RF_PRES_MON	SEB	0	31	22	0	224	30	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	psi	%.3f	1	1	1.697	5.031952901	0	0	0	0	0	0	0	0	0	0	0	0	0
EM-1_DAC0_REG_RDBK	SEB	0	32	22	0	1	99	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	990.5332268	-15.53385687	0	0	0	0	0	0	0	0	0	0	0	0	0
EM-2_DAC1_REG_RDBK	SEB	0	33	22	0	1	100	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	994.4167301	-15.63145001	0	0	0	0	0	0	0	0	0	0	0	0	0
IS_EDAC_REG_RDBK	SEB	0	34	22	0	1	101	1	0xFF	0	%02X	%1.0f	0	0	1	uA	%.4f	1	0	0	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
FIL_VDAC_REG_RDBK	SEB	0	35	22	0	1	102	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
DET_A_THR_REG_RDBK	SEB	0	36	22	0	1	104	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
DET_B_THR_REG_RDBK	SEB	0	37	22	0	1	103	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
FOC_A_SRCA_DAC6_REG_RDBK	SEB	0	38	22	0	1	105	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	-100	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
FOC_A_SRCB_DAC7_REG_RDBK	SEB	0	39	22	0	1	106	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	-100	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_EC_DAC8_REG_RDBK	SEB	0	40	22	0	1	107	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
LDI_EC_DAC9_REG_RDBK	SEB	0	41	22	0	1	109	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
OUT_A_DAC10_REG_RDBK	SEB	0	42	22	0	1	111	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-100	0.048840049	0	0	0	0	0	0	0	0	0	0	0	0	0
ION_REP_DAC11_REG_RDBK	SEB	0	43	22	0	1	113	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	10	-0.004884005	0	0	0	0	0	0	0	0	0	0	0	0	0
ROD_BIAS_DAC12_REG_RDBK	SEB	0	44	22	0	1	115	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
RF_AMP_DAC13_REG_RDBK	SEB	0	45	22	0	1	117	2	0xFFFF	0	%04X	%1.0f	0	0	1	V	%.4f	1	0	2505.117325	-0.038366765	0	0	0	0	0	0	0	0	0	0	0	0	0
AUX_AMP_DAC15_REG_RDBK	SEB	0	46	22	0	1	119	2	0xFFFF	0	%04X	%1.0f	0	0	1	V	%.4f	1	0	0	0.000610361	0	0	0	0	0	0	0	0	0	0	0	0	0
EM_1_DAC0_SET	SEB	0	47	22	0	1	121	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	990.5332268	-15.53385687	0	0	0	0	0	0	0	0	0	0	0	0	0
EM_2_DAC1_SET	SEB	0	48	22	0	1	122	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	994.4167301	-15.63145001	0	0	0	0	0	0	0	0	0	0	0	0	0
IS_EDAC_SET	SEB	0	49	22	0	1	123	1	0xFF	0	%02X	%1.0f	0	0	1	uA	%.4f	1	0	0	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
FIL_VDAC_SET	SEB	0	50	22	0	1	124	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
DET_A_THR_SET	SEB	0	51	22	0	1	126	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
DET_B_THR_SET	SEB	0	52	22	0	1	125	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	0	0.019607843	0	0	0	0	0	0	0	0	0	0	0	0	0
FOC_A_SRCA_DAC6_SET	SEB	0	53	22	0	1	127	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	-100	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
FOC_A_SRCB_DAC7_SET	SEB	0	54	22	0	1	128	1	0xFF	0	%02X	%1.0f	0	0	1	V	%.4f	1	0	-100	0.392156863	0	0	0	0	0	0	0	0	0	0	0	0	0
GC_EC_DAC8_SET	SEB	0	55	22	0	1	129	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
LDI_EC_DAC9_SET	SEB	0	56	22	0	1	131	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
OUT_A_DAC10_SET	SEB	0	57	22	0	1	133	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-100	0.048840049	0	0	0	0	0	0	0	0	0	0	0	0	0
ION_REP_DAC11_SET	SEB	0	58	22	0	1	135	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	10	-0.004884005	0	0	0	0	0	0	0	0	0	0	0	0	0
ROD_BIAS_DAC12_SET	SEB	0	59	22	0	1	137	2	0xFFFF	0	%03X	%1.0f	0	0	1	V	%.4f	1	0	-230	0.112332112	0	0	0	0	0	0	0	0	0	0	0	0	0
RF_AMP_DAC13_SET	SEB	0	60	22	0	1	139	2	0xFFFF	0	%04X	%1.0f	0	0	1	V	%.4f	1	0	2505.117325	-0.038366765	0	0	0	0	0	0	0	0	0	0	0	0	0
AUX_AMP_DAC15_SET	SEB	0	61	22	0	1	141	2	0xFFFF	0	%04X	%1.0f	0	0	1	V	%.4f	1	0	0	0.000610361	0	0	0	0	0	0	0	0	0	0	0	0	0
RF_AMP_MON	SEB	0	62	22	0	1	143	2	0xFFFF	0	%04X	%.3f	1	-5	0.000152588	V	%.1f	1	1	-8.9448	-255.3011	0	0	0	0	0	0	0	0	0	0	0	0	0
RF_MEAS_TIME_RDBK	SEB	0	63	22	0	1	145	2	0xFFFF	0	%04X	%.3f	0	0	1		%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RF_FREQ_MEAS	SEB	0	64	22	0	1	147	3	0xFFFFFF	0	%06X	%.3f	0	0	1		%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQ_MARK	SEB	0	65	22	0	1	150	1	0xFF	0	%02X	%.3f	0	0	1	Mark	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RAM_EDAC_SCRUB_CNTR	SEB	0	66	22	0	1	151	1	0xC0	6	%d	%1.0f	0	0	1		%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RAM_EDAC_CORRECTIONS	SEB	0	67	22	0	1	151	1	0x30	4	%d	%1.0f	0	0	1		%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RAM_SCRUB_ACTIVE	SEB	0	68	22	0	1	151	1	0x08	3	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RAM_INIT_DONE	SEB	0	69	22	0	1	151	1	0x04	2	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQ_STATUS_UNUSED	SEB	0	70	22	0	1	151	1	0x02	1	%d	%1.0f	0	0	1		%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQUENCE_RUNNING	SEB	0	71	22	0	1	151	1	0x01	0	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASYNC_TX_FIFO_UNCORRECT_ERR	SEB	0	72	22	0	1	152	2	0xC000	14	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RX_PKT_FIFO_UNCORRECT_ERR	SEB	0	73	22	0	1	152	2	0x3000	12	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCI_PKT_FIFO_UNCORRECT_ERR	SEB	0	74	22	0	1	152	2	0x0C00	10	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACK_PKT_FIFO_UNCORRECT_ERR	SEB	0	75	22	0	1	152	2	0x0300	8	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HK_PKT_FIFO_UNCORRECT_ERR	SEB	0	76	22	0	1	152	2	0x00C0	6	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CMD_FIFO_UNCORRECT_ERR	SEB	0	77	22	0	1	152	2	0x0030	4	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQ_RAM_UNCORRECT_ERR	SEB	0	78	22	0	1	152	2	0x000C	2	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASYNC_RX_FIFO_UNCORRECT_ERR	SEB	0	79	22	0	1	152	2	0x0003	0	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCI_PKT_ENA	SEB	0	80	22	0	1	154	1	0x20	5	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCAN_STATUS_PKT_ENA	SEB	0	81	22	0	1	154	1	0x10	4	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDS_DUMP_PKT_ENA	SEB	0	82	22	0	1	154	1	0x08	3	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQ_DUMP_PKT_ENA	SEB	0	83	22	0	1	154	1	0x04	2	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HK_PKT_ENA	SEB	0	84	22	0	1	154	1	0x02	1	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACK_PKT_ENA	SEB	0	85	22	0	1	154	1	0x01	0	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BIN_TIME_RDBK	SEB	0	86	22	0	1	155	2	0xFFFF	0	%04X	%1.0f	0	0	1	us	%.1f	1	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASYNC_TX_FIFO_CORRECT_ERR	SEB	0	87	22	0	1	157	2	0xC000	14	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RX_PKT_FIFO_CORRECT_ERR	SEB	0	88	22	0	1	157	2	0x3000	12	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCI_PKT_FIFO_CORRECT_ERR	SEB	0	89	22	0	1	157	2	0x0C00	10	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACK_PKT_FIFO_CORRECT_ERR	SEB	0	90	22	0	1	157	2	0x0300	8	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HK_PKT_FIFO_CORRECT_ERR	SEB	0	91	22	0	1	157	2	0x00C0	6	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CMD_FIFO_CORRECT_ERR	SEB	0	92	22	0	1	157	2	0x0030	4	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQ_RAM_CORRECT_ERR	SEB	0	93	22	0	1	157	2	0x000C	2	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASYNC_RX_FIFO_CORRECT_ERR	SEB	0	94	22	0	1	157	2	0x0003	0	%d	%1.0f	0	0	1	errors	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDS_STATE_ON	SEB	0	95	22	0	1	159	1	0x04	2	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDS_STATE_ACTIVE	SEB	0	96	22	0	1	159	1	0x02	1	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDS_STATE_PHASE_LOCK	SEB	0	97	22	0	1	159	1	0x01	0	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TUNING_WORD_RDBK	SEB	0	98	22	0	1	160	3	0xFFFFFF	0	%06X	%1.0f	0	0	1	tuning word	%1.0f	1	0	0	0.298023224	0	0	0	0	0	0	0	0	0	0	0	0	0
PHASE_OFFSET_RDBK	SEB	0	99	22	0	1	163	3	0xFFFFFF	0	%06X	%1.0f	0	0	1	phase offset	%1.0f	1	0	0	2.15E-05	0	0	0	0	0	0	0	0	0	0	0	0	0
PHASE_CYCLE_RDBK	SEB	0	100	22	0	1	166	1	0xFF	0	%02X	%1.0f	0	0	1	phase cycle	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIG_STATUS_COUNTER	SEB	0	101	22	0	1	167	2	0x0060	5	%d	%1.0f	0	0	1	counter	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIG_STATUS_IS_FIL_B_ON	SEB	0	102	22	0	1	167	2	0x0010	4	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIG_STATUS_5KV1_ON	SEB	0	103	22	0	1	167	2	0x0008	3	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIG_STATUS_5KV2_ON	SEB	0	104	22	0	1	167	2	0x0004	2	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIG_STATUS_IS_FIL_A_ON	SEB	0	105	22	0	1	167	2	0x0002	1	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DIG_STATUS_HV_OSC_ON	SEB	0	106	22	0	1	167	2	0x0001	0	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RAMP_STATUS	SEB	0	107	22	0	1	169	1	0x01	0	%d	%1.0f	0	0	1	bool	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CMDS_RECEIVED	SEB	0	108	22	0	1	170	2	0xFFFF	0	%04X	%1.0f	0	0	1	cmds	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CMDS_EXECUTED	SEB	0	109	22	0	1	172	2	0xFFFF	0	%04X	%1.0f	0	0	1	cmds	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CMDS_REJECTED	SEB	0	110	22	0	1	174	2	0xFFFF	0	%04X	%1.0f	0	0	1	cmds	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQ_CMDS_EXECUTED	SEB	0	111	22	0	1	176	2	0xFFFF	0	%04X	%1.0f	0	0	1	cmds	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQ_CMDS_REJECTED	SEB	0	112	22	0	1	178	2	0xFFFF	0	%04X	%1.0f	0	0	1	cmds	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQUENCE_ID	SEB	0	113	22	0	1	180	2	0xFFFF	0	%04X	%1.0f	0	0	1	ID	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SEQUENCE_BYTES	SEB	0	114	22	0	1	182	2	0xFFFF	0	%04X	%1.0f	0	0	1	Bytes	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_0	SEB	0	115	22	0	1	184	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_1	SEB	0	116	22	0	1	186	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_2	SEB	0	117	22	0	1	188	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_3	SEB	0	118	22	0	1	190	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_4	SEB	0	119	22	0	1	192	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_5	SEB	0	120	22	0	1	194	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_6	SEB	0	121	22	0	1	196	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
PAUSE_REG_RDBK_7	SEB	0	122	22	0	1	198	2	0xFFFF	0	%04X	%1.0f	1	0	1	ms	%.2f	1	1	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
HK_SAMPLE_TIME	SEB	0	123	22	0	1	200	1	0xFF	0	%02X	%1.0f	0	0	1	ms	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HK_TABLE_ID	SEB	0	124	22	0	1	201	1	0xFF	0	%02X	%1.0f	0	0	1	ID	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDS_BLOCK_SIZE	SEB	0	125	22	0	1	202	1	0xFF	0	%02X	%1.0f	0	0	1	Block Size	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DDS_WAVE_SELECT	SEB	0	126	22	0	1	203	1	0xFF	0	%02X	%1.0f	0	0	1	Select	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FPGA_VERSION	SEB	0	127	22	0	1	204	1	0xFF	0	%02X	%1.0f	0	0	1	Version	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TM_OVERRUN_PKTS_SKIPPED	SEB	0	128	22	0	1	205	2	0xFFFF	0	%04X	%1.0f	0	0	1	Packets	%1.0f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN_RF_FREQ_MEASURE	SEB	0	200	25	0	1	6	3	0xFFFFFF	0	%06X	%1.0f	1	0	1		%1.0f	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN_RF_MEAS_TIME	SEB	0	201	25	0	1	9	2	0xFFFF	0	%04X	%1.0f	1	0	1		%1.0f	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN_RF_AMPLITUDE_MON	SEB	0	202	25	0	1	11	2	0xFFFF	0	%04X	%1.0f	1	-5	0.000152588	V	%.4f	1	1	-8.9448	-255.3011	0	0	0	0	0	0	0	0	0	0	0	0	0
